Species,English,Family,Hab,Ev,Abund,Snst,Strat,Ind
Tinamus tao,Grey Tinamou,TINAMIDAE,T,V,R,H,T,
Tinamus major,Great Tinamou,TINAMIDAE,T,S,R,M,T,
Crypturellus cinereus,Cinereous Tinamou,TINAMIDAE,S,V,U,L,T,
Crypturellus soui,Little Tinamou,TINAMIDAE,S/T,V,F,L,T,
Crypturellus undulatus,Undulated Tinamou,TINAMIDAE,S,V,U,L,T,
Crypturellus variegatus,Variegated Tinamou,TINAMIDAE,T,V,U,H,T,I
Crypturellus bartletti,Bartlett’s Tinamou,TINAMIDAE,T,V,U,H,T,
Penelope jacquacu,Spix’s Guan,CRACIDAE,T,S,U,H,T/C,
Pipile pipile,Trinidad Piping Guan,CRACIDAE,T,S,U,H,C,
Ortalis guttata,Speckled Chachalaca,CRACIDAE,T/R,V,C,L,U/C,
Nothocrax urumutum,Nocturnal Curassow,CRACIDAE,V/T,V,U,H,T,
Mitu salvini,Salvin’s Curassow,CRACIDAE,T,S,R,H,T,I
Odontophorus gujanensis,Marbled Wood-Quail,ODONTOPHORIDAE,T,M,U,H,T,I
Odontophorus speciosus,Rufous-breasted Wood Quail,ODONTOPHORIDAE,T,TRAP,R,H,T,
Tachybaptus dominicus,Least Grebe,PODICIPEDIDAE,M,S,R,M,W,
Patagioenas speciosa,Scaled Pigeon,COLUMBIDAE,T,S,U,M,C,
Patagioenas plumbea,Plumbeous Pigeon,COLUMBIDAE,T,S/V,C,H,C,
Patagioenas subvinacea,Ruddy Pigeon,COLUMBIDAE,T/V,V,F,H,C,
Geotrygon saphirina,Sapphire Quail-Dove,COLUMBIDAE,T,S,R,H,T,
Geotrygon montana,Ruddy Quail-Dove,COLUMBIDAE,T,S/V/M,C,M,T,
Leptotila rufaxilla,Grey-fronted Dove,COLUMBIDAE,T/S,S/M,C,M,T,
Columbina minuta,Plain-breasted Ground Dove,COLUMBIDAE,SC,S,U,L,T,
Claravis pretiosa,Blue Ground Dove,COLUMBIDAE,T,S,R,L,T/M,
Crotophaga major,Greater Ani,CUCULIDAE,V/R,S,C,M,T/C,
Crotophaga ani,Smooth-billed Ani,CUCULIDAE,SC/R,S,C,L,T/C,
Piaya cayana,Squirrel Cuckoo,CUCULIDAE,T/S,S/V,F,L,C,
Piaya melanogaster,Black-bellied Cuckoo,CUCULIDAE,T,S,F,H,C,
Coccyzus melacoryphus,Dark-billed Cuckoo,CUCULIDAE,S,S,U,L,M/C,
Steatornis caripensis,Oilbird,STEATORNITHIDAE,T,,U,M,C/A,
Nyctibius grandis,Great Potoo,NYCTIBIIDAE,T,V,U,M,C,
Nyctibius aethereus,Long-tailed Potoo,NYCTIBIIDAE,T,V,U,H,C,
Nyctibius griseus,Common Potoo,NYCTIBIIDAE,T/S/R,V,F,L,C,
Nyctibius bracteatus,Rufous Potoo,NYCTIBIIDAE,T,V,R,H,M?,
Nyctipolus nigrescens,Blackish Nightjar,CAPRIMULGIDAE,T,V,U,M,T,
Nyctidromus albicollis,Common Pauraque,CAPRIMULGIDAE,T/S,V,U,L,T,
Hydropsalis climacocerca,Ladder-tailed Nightjar,CAPRIMULGIDAE,R,V,U,M,U,
Streptoprocne rutila,Chestnut-collared Swift,APODIDAE,S,S,U,L,A,
Streptoprocne zonaris,White-collared Swift,APODIDAE,T,S,C,L,A,
Chaetura brachyura,Short-tailed Swift,APODIDAE,S,S,F,L,A,
Tachornis squamata,Fork-tailed Palm Swift,APODIDAE,SC,S,F,L,A,
Panyptila cayennensis,Lesser Swallow-tailed Swift,APODIDAE,S,S,U,M,A,
Topaza pyra,Fiery Topaz,TROCHILIDAE,R,S,R,M,U/M,
Florisuga mellivora,White-necked Jacobin,TROCHILIDAE,S/AG,S,U,L,M/C,
Eutoxeres condamini,Buff-tailed Sicklebill,TROCHILIDAE,T/S,M (P),F,M,U,
Glaucis hirsutus,Rufous-breasted Hermit,TROCHILIDAE,T/S,M (P),F,L,U,
Threnetes leucurus,Pale-tailed Barbthroat,TROCHILIDAE,T,M (P),F,?,U?,
Phaethornis atrimentalis,Black-throated Hermit,TROCHILIDAE,T/S,M (P),F,M,U,
Phaethornis hispidus,White-bearded Hermit,TROCHILIDAE,V,M,U,M,U,
Phaethornis bourcieri,Straight-billed Hermit,TROCHILIDAE,T/S,M (P),F,H,U/M,
Phaethornis malaris,Great-billed Hermit,TROCHILIDAE,T,S/M (P),C,H,U,I
Doryfera johannae,Blue-fronted Lancebill,TROCHILIDAE,T,S/M (P),U,M,U/M,
Anthracothorax nigricollis,Black-throated Mango,TROCHILIDAE,SC,S,U,L,M/C,
