RING NO.,SPECIES,HISTORY,SEX,BILL,HEAD,TARSUS,WING,WEIGHT,DATE,TIME,LOCATION,YEAR
AA0197,G. spirurus,0,5,13.5,29.7,15.7,65,15,16-Jul,7,San Jose,2004
AA0198,L. coronata,0,4,10.4,28.3,15,60,9.5,16-Jul,7,San Jose,2004
B0055,D. fuliginosa,0,5,30.5,54.4,24.3,111,46.5,16-Jul,8,San Jose,2004
AA0199,L. coronata,0,5,13.1,29,13.4,64,12.5,16-Jul,8,San Jose,2004
A0224,P. filicauda,0,3,10.7,29.6,15.7,64,15,16-Jul,8,San Jose,2004
0,P. malaris,0,5,44.4,54.8,,55,6,16-Jul,8,San Jose,2004
0,P. malaris,0,5,45.3,56.1,,59,7.1,16-Jul,8,San Jose,2004
A0225,T. caesius,0,3,18.7,35.6,15.5,70,17.5,16-Jul,8,San Jose,2004
A0226,T. caesius,0,3,18,36,18.1,68,16.5,16-Jul,8,San Jose,2004
AA0200,G. spirurus,0,5,12.8,29.1,13.2,70,13,16-Jul,9,San Jose,2004
0,P. malaris,0,5,46.3,55.2,0,57,6,16-Jul,9,San Jose,2004
AA0202,G. spirurus,0,5,13.2,30.2,15.4,66,14,16-Jul,10,San Jose,2004
AA0203,G. spirurus,0,5,14.1,29.6,15,74,14,16-Jul,10,San Jose,2004
AA0204,G. spirurus,0,5,13.9,30.7,20.9,70,13.5,16-Jul,10,San Jose,2004
AA0201,M. axillaris,0,3,15.6,30.1,16.7,57,8.5,16-Jul,10,San Jose,2004
0,P. malaris,0,5,43.4,56.2,,58,6,16-Jul,10,San Jose,2004
C1244,T. albicollis,0,3,20.7,44.2,30.1,108,49.5,16-Jul,10,San Jose,2004
0,T. niger,0,5,36.9,48.2,,51,6,16-Jul,10,San Jose,2004
C1245,G. montana,0,4,17.3,40.9,23.6,134,104.5,16-Jul,11,San Jose,2004
0,P. malaris,0,5,44.3,55.2,0,56,6,16-Jul,11,San Jose,2004
0,T. niger,0,5,35.7,48.5,,62,5.5,16-Jul,11,San Jose,2004
AA0205,H. leucostica,0,5,17.6,35.1,32,59,15.1,16-Jul,12,San Jose,2004
A0228,M. marginatus,0,5,20.7,39.8,21.8,60,18.6,16-Jul,12,San Jose,2004
A0227,P. filicauda,0,4,11.9,32.8,17.9,62,16.5,16-Jul,12,San Jose,2004
AA0197,G. spirurus,1,5,,,,,14.7,17-Jul,8,San Jose,2004
A0229,H. leucostica,0,5,18.1,36.5,25.8,57,17,17-Jul,8,San Jose,2004
A0230,T. caesius,0,4,18.8,35.7,17.2,72,18.6,17-Jul,8,San Jose,2004
B0056,F. analis,0,5,19.9,44.9,32.5,93,5.3,17-Jul,9,San Jose,2004
A0206,L. coronata,0,4,11.4,26.8,14.1,59,9.1,17-Jul,9,San Jose,2004
A0231,M. myotherinus,0,3,16.5,37,24.6,61,20.1,17-Jul,9,San Jose,2004
,P. filicauda,0,3,12.5,29.2,16.5,65,10.7,17-Jul,10,San Jose,2004
AA0207,D. cincta,0,3,17.5,36.4,23.5,62,15.5,18-Jul,6,San Jose,2004
A0232,M. myotherinus,0,3,19.3,37.6,24.1,64,21.6,18-Jul,6,San Jose,2004
AA0200,G. spirurus,1,5,,,,,13.3,18-Jul,7,San Jose,2004
A0234,H. ochraceiceps,0,5,15.5,30.9,14.7,63,12.4,18-Jul,7,San Jose,2004
A0235,P. filicauda,0,3,10.6,29.3,17.1,65,,18-Jul,7,San Jose,2004
A0233,T. caesius,0,4,17.6,36.8,17,73,18.5,18-Jul,7,San Jose,2004
,B. capensis,0,,,,,,,18-Jul,8,San Jose,2004
A0236,H. ochraceiceps,0,5,14.7,30,20.3,59,15,18-Jul,8,San Jose,2004
C1245,G. montana,1,4,,,,,108,18-Jul,9,San Jose,2004
C1246,G. montana,0,3,19.8,43.1,25.2,138,105,18-Jul,9,San Jose,2004
AA0209,L. coronata,0,4,11.1,27.2,13.5,56,10.1,18-Jul,9,San Jose,2004
A0237,P. filicauda,0,6,11.5,30.2,15.7,66,15.5,18-Jul,9,San Jose,2004
AA0210,G. spirurus,0,5,13.2,29.4,14.8,64,12.5,18-Jul,10,San Jose,2004
AA0211,G. spirurus,0,5,13.2,31.6,16.4,72,15.4,18-Jul,10,San Jose,2004
A0238,P. erythrocephala,0,3,11.7,29.1,14.3,64,13.2,18-Jul,10,San Jose,2004
A0239,P. filicauda,0,3,12.3,29.7,15.1,66,13.5,18-Jul,10,San Jose,2004
AA0213,M. axillaris,0,3,14.5,30.5,14.5,55,8.9,18-Jul,11,San Jose,2004
AA0212,M. hauxwelli,0,3,15.5,32,21.5,56,13,18-Jul,11,San Jose,2004
A0241,P. filicauda,0,4,12.1,30.2,13.4,63,14.5,18-Jul,11,San Jose,2004
A0243,T. ardesiacus,0,5,18.4,35.4,15.4,69,17.5,18-Jul,11,San Jose,2004
A0242,T. caesius,0,7,18.9,36.3,17.6,63,16.2,18-Jul,11,San Jose,2004
A0244,T. caesius,0,6,18.3,36.2,16.6,67,16.1,18-Jul,11,San Jose,2004
0,T. niger,0,5,36.4,36.3,,65,6.7,18-Jul,11,San Jose,2004
A0240,T. schrankii,0,5,11.1,30,17.2,69,19.8,18-Jul,11,San Jose,2004
HBA34629,P. bourcieri,1,5,34,45.8,,57,3.9,18-Jul,12,San Jose,2004
AA0208,M. axillaris,0,3,13.4,27,14.4,54,8.5,18-Jul,,San Jose,2004
B0057,A. infuscatus,0,5,21.7,43.4,24.4,90,33,19-Jul,6,San Jose,2004
A0245,H. naevia,0,4,17,34.1,24.3,59,15,19-Jul,6,San Jose,2004
A0246,M. myotherinus,0,3,18.8,38.2,23,66,22.2,19-Jul,6,San Jose,2004
